transaction_id,customer_id,transaction_type,amount_inr,payment_method,issuing_bank,timestamp,initial_status,failure_reason,is_retryable
9d4c9bae-10d5-494b-b583-784bae127092,CUST_1528,subscription_renewal,1967.2,UPI,IndusInd,2026-05-18 12:26:00,success,,
9f087aef-7ae5-4f79-8683-53326998cebf,CUST_757,subscription_renewal,206.63,card,SBI,2026-03-20 10:49:00,success,,
a9572ce9-d960-42a5-93cd-408ae83d6a33,CUST_318,subscription_renewal,194.46,UPI,BOB,2026-02-24 01:43:00,success,,
d11d475b-17d7-4df2-b1ad-114ea2f76f90,CUST_1355,subscription_renewal,1953.66,card,SBI,2026-04-08 19:28:00,failed,issuer_decline_risk,False
cce1313b-fcf4-4187-8052-2809fefa21b2,CUST_1546,subscription_renewal,194.69,card,SBI,2026-05-20 11:27:00,success,,
25455815-ffd5-4f42-8511-395f60a465e2,CUST_1389,subscription_renewal,953.59,UPI,HDFC,2026-05-17 16:42:00,success,,
2c466eee-a488-4b86-bf46-2c9b4f07670f,CUST_809,subscription_renewal,1043.49,UPI,HDFC,2026-05-04 00:13:00,success,,
d63be3a9-75a3-4e67-8ee6-ed60c292778f,CUST_1571,subscription_renewal,189.2,UPI,HDFC,2026-02-12 09:20:00,success,,
d511fc7a-353e-42c9-b1d3-8dc29a81b14f,CUST_1529,subscription_renewal,499.01,UPI,PNB,2026-04-21 04:24:00,success,,
dadbc870-70ac-49d1-8307-0ed6af08f16a,CUST_1706,subscription_renewal,197.73,UPI,ICICI,2026-06-09 02:25:00,success,,
b771c2aa-2e92-4c58-96c5-2bee4e6e5501,CUST_941,subscription_renewal,2040.88,card,SBI,2026-01-06 18:27:00,success,,
4421882a-a1b4-418b-9f7e-df4ebf2cda3a,CUST_855,subscription_renewal,966.22,netbanking,IndusInd,2026-03-14 12:01:00,success,,
65912dd1-a268-469a-9dbe-02b88662611d,CUST_1940,subscription_renewal,957.85,UPI,SBI,2026-05-20 22:58:00,success,,
6d9be01a-4da5-4ece-9386-dd4c9520a490,CUST_1729,subscription_renewal,2003.79,UPI,SBI,2026-01-23 13:37:00,success,,
ce407f96-cd4e-4ae8-85dd-261bd0b8ef9f,CUST_810,subscription_renewal,1026.88,UPI,Yes Bank,2026-03-10 10:14:00,success,,
67c4a4cd-6f78-44ee-8499-f9e5433e6a51,CUST_156,subscription_renewal,519.26,card,HDFC,2026-05-06 03:33:00,success,,
5e9ee762-4d76-496f-9a0e-a102e225e5e3,CUST_715,subscription_renewal,485.84,UPI,SBI,2026-03-24 20:52:00,failed,insufficient_funds,True
3a0abb84-bb39-43d3-b552-3696a29a5d39,CUST_299,subscription_renewal,511.98,card,Yes Bank,2026-03-24 05:38:00,failed,insufficient_funds,True
511791e9-8e29-4204-a7f1-ce9de0b7c7e6,CUST_1342,subscription_renewal,2049.86,card,Yes Bank,2026-01-06 20:31:00,success,,
d80236f7-8675-4b3a-9307-b8f0060b575f,CUST_1556,subscription_renewal,1035.39,UPI,SBI,2026-05-18 21:59:00,success,,
ae6229ce-4072-42b6-8fa9-ec5317591fbd,CUST_1284,subscription_renewal,1987.45,UPI,HDFC,2026-03-21 14:04:00,success,,
